query,query_type,method,precision_at_5,precision_at_10,recall_at_10,recall_at_30,ndcg_at_10,mrr,execution_time_ms,num_relevant
election,cross-lingual,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.42,28
election,cross-lingual,semantic,1.0,1.0,0.3571,1.0,1.0,1.0,301.72,28
election,cross-lingual,hybrid,1.0,1.0,0.3571,1.0,1.0,1.0,48.6,28
Bangladesh politics,cross-lingual,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,21
Bangladesh politics,cross-lingual,semantic,1.0,0.8,0.381,1.0,0.8572,1.0,24.01,21
Bangladesh politics,cross-lingual,hybrid,1.0,0.8,0.381,1.0,0.8572,1.0,89.24,21
prime minister,cross-lingual,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.03,13
prime minister,cross-lingual,semantic,0.4,0.7,0.5385,1.0,0.6563,1.0,10.85,13
prime minister,cross-lingual,hybrid,0.4,0.7,0.5385,1.0,0.6563,1.0,87.1,13
Dhaka city,cross-lingual,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.02,18
Dhaka city,cross-lingual,semantic,0.6,0.5,0.2778,1.0,0.6208,1.0,13.98,18
Dhaka city,cross-lingual,hybrid,0.6,0.5,0.2778,1.0,0.6208,1.0,74.56,18
বিএনপি,same-language,bm25,1.0,1.0,0.3226,0.7419,1.0,1.0,0.66,31
বিএনপি,same-language,semantic,0.8,0.9,0.2903,0.6129,0.9052,1.0,8.14,31
বিএনপি,same-language,hybrid,1.0,1.0,0.3226,0.871,1.0,1.0,46.6,31
নির্বাচন কমিশন,same-language,bm25,1.0,1.0,0.2439,0.7317,1.0,1.0,1.38,41
নির্বাচন কমিশন,same-language,semantic,1.0,1.0,0.2439,0.6341,1.0,1.0,11.96,41
নির্বাচন কমিশন,same-language,hybrid,1.0,1.0,0.2439,0.7317,1.0,1.0,89.11,41
ঢাকা বিশ্ববিদ্যালয়,same-language,bm25,1.0,1.0,0.2564,0.7692,1.0,1.0,1.47,39
ঢাকা বিশ্ববিদ্যালয়,same-language,semantic,0.2,0.5,0.1282,0.3333,0.3917,0.3333,7.51,39
ঢাকা বিশ্ববিদ্যালয়,same-language,hybrid,0.6,0.6,0.1538,0.4615,0.657,1.0,94.62,39
BNP party,code-switched,bm25,0.0,0.0,0.0,0.0,0.0,0.0,0.02,21
BNP party,code-switched,semantic,1.0,1.0,0.4762,1.0,1.0,1.0,9.49,21
BNP party,code-switched,hybrid,1.0,1.0,0.4762,1.0,1.0,1.0,78.5,21
