query,method,precision_at_10,recall_at_50,ndcg_at_10,mrr,execution_time_ms
নির্বাচন,bm25,0.75,0.65,0.78,1.00,11
নির্বাচন,fuzzy,0.40,0.30,0.45,0.50,48
নির্বাচন,semantic,0.85,0.80,0.88,1.00,8600
নির্বাচন,hybrid,1.00,0.94,1.00,1.00,250
বিএনপি,bm25,0.80,0.70,0.82,1.00,12
বিএনপি,fuzzy,0.35,0.25,0.40,0.33,45
বিএনপি,semantic,0.78,0.75,0.80,1.00,8550
বিএনপি,hybrid,0.90,0.95,0.94,1.00,245
ঢাকা,bm25,0.70,0.55,0.72,1.00,10
ঢাকা,fuzzy,0.60,0.40,0.55,0.50,50
ঢাকা,semantic,0.82,0.78,0.85,1.00,8650
ঢাকা,hybrid,0.80,0.71,0.84,1.00,260
Bangladesh election,bm25,0.00,0.00,0.00,0.00,8
Bangladesh election,fuzzy,0.10,0.05,0.08,0.10,42
Bangladesh election,semantic,0.75,0.70,0.78,1.00,8500
Bangladesh election,hybrid,0.60,0.55,0.65,1.00,240
